产品大类,产品品类,产品系列,价格,购买链接,英文色号,内部推荐权重,昵称,包装名称,官方推荐话术,场景标签,无正装售卖,已断货,新色号
唇部产品,口红,透明口红,-,https://detail.tmall.com/item.htm?id=00000000000,COLOR-01,高,雾气草莓,,清透显白的草莓红，冷调氛围感十足，上唇自带滤镜。,清冷/显白,,,高
唇部产品,口红,透明口红,-,https://detail.tmall.com/item.htm?id=00000000000,COLOR-02,中,焦糖砖红,,浓郁焦糖砖红，复古氛围感拉满，秋冬气质色。,复古/秋冬,,,高
唇部产品,口红,透明口红,-,https://detail.tmall.com/item.htm?id=00000000000,COLOR-03,低,绒绒蜜桃,,软糯蜜桃橘调，甜美元气，少女感十足。,元气/甜美,,,低
唇部产品,口红,透明口红,-,https://detail.tmall.com/item.htm?id=00000000000,COLOR-04,中,清冷樱桃,,清冷樱桃红，气场满满，显白又显气质。,御姐/清冷,,1,低
唇部产品,口红,透明口红,-,https://detail.tmall.com/item.htm?id=00000000000,COLOR-05,低,晴空粉,裸粉色,明亮清透粉调，舞台感十足，适合白皮。,少女/白皮,1,,低
唇部产品,口红,透明口红,-,https://detail.tmall.com/item.htm?id=00000000000,COLOR-06,低,杏仁奶茶,,温柔奶茶裸色，日常通勤百搭。,通勤/日常,,,高
唇部产品,唇釉,水雾唇釉,-,https://detail.tmall.com/item.htm?id=00000000000,COLOR-07,高,梦幻灰粉,,低饱和灰粉玫瑰，温柔又高级。,温柔/知性,,,中
唇部产品,唇釉,水雾唇釉,-,https://detail.tmall.com/item.htm?id=00000000000,COLOR-08,中,悦动苹果红,,活泼苹果红，上唇元气感满满。,元气,,,中
唇部产品,唇釉,水雾唇釉,-,https://detail.tmall.com/item.htm?id=00000000000,COLOR-09,高,烟熏玫瑰,干枯玫瑰色,冷调烟熏玫瑰，高级感十足。,清冷/御姐,,,中
唇部产品,唇釉,水雾唇釉,-,https://detail.tmall.com/item.htm?id=00000000000,COLOR-10,低,苍兰裸粉,,清透裸粉色，白开水妆容必备。,清淡/温柔,,,中
